seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime,penalty_position,penalty_direction,save,goal,miss
13481,740598,56,45665257,55',"Goal! Brighton and Hove Albion 1, Fulham 0. Matt O'Riley (Brighton and Hove Albion) converts the penalty with a left footed shot to the bottom left corner.",2025-08-17 00:58:39,9,bottom left,0,1,0
13481,740599,66,45685738,78',"Goal! Nottingham Forest 3, Brentford 1. Igor Thiago (Brentford) converts the penalty with a right footed shot to the centre of the goal.",2025-08-20 00:56:38,5,middle center,0,1,0
13481,740605,64,45703508,84',"Goal! Leeds United 1, Everton 0. Lukas Nmecha (Leeds United) converts the penalty with a right footed shot to the bottom right corner.",2025-08-18 21:44:01,7,bottom right,0,1,0
13481,740606,84,45735968,90'+5',"Goal! Arsenal 5, Leeds United 0. Viktor Gyökeres (Arsenal) converts the penalty with a right footed shot to the bottom left corner.",2025-08-24 00:58:03,9,bottom left,0,1,0
13481,740611,75,45747772,77',Penalty saved. Danny Welbeck (Brighton and Hove Albion) right footed shot saved in the bottom right corner by Jordan Pickford (Everton).,2025-08-24 14:10:13,7,bottom right,1,0,0
13481,740616,19,45811566,21',"Goal! Aston Villa 0, Crystal Palace 1. Jean-Philippe Mateta (Crystal Palace) converts the penalty with a right footed shot to the bottom left corner.",2025-09-01 01:11:18,9,bottom left,0,1,0
13481,740617,78,45807652,67',"Goal! Brighton and Hove Albion 1, Manchester City 1. James Milner (Brighton and Hove Albion) converts the penalty with a right footed shot to the bottom left corner.",2025-09-02 01:11:26,9,bottom left,0,1,0
13481,740618,69,45789450,56',"Goal! Chelsea 2, Fulham 0. Enzo Fernández (Chelsea) converts the penalty with a right footed shot to the centre of the goal.",2025-08-31 01:08:09,5,middle center,0,1,0
13481,740621,99,45794245,90'+7',"Goal! Manchester United 3, Burnley 2. Bruno Fernandes (Manchester United) converts the penalty with a right footed shot to the bottom left corner.",2025-08-31 01:08:09,9,bottom left,0,1,0
13481,740622,79,45807905,88',"Goal! Nottingham Forest 0, West Ham United 2. Lucas Paquetá (West Ham United) converts the penalty with a left footed shot to the bottom left corner.",2025-09-02 01:11:26,9,bottom left,0,1,0
13481,740623,51,45792530,59',Penalty saved. Kevin Schade (Brentford) right footed shot saved in the bottom left corner by Robin Roefs (Sunderland).,2025-08-31 01:08:09,9,bottom left,1,0,0
13481,740623,76,45793546,82',"Goal! Sunderland 1, Brentford 1. Enzo Le Fée (Sunderland) converts the penalty with a right footed shot to the bottom right corner.",2025-08-31 01:08:09,7,bottom right,0,1,0
13481,740633,104,45890387,90'+5',"Goal! Burnley 0, Liverpool 1. Mohamed Salah (Liverpool) converts the penalty with a left footed shot to the top right corner.",2025-09-15 01:16:59,1,top right,0,1,0
13481,740635,63,45871522,61',"Goal! Bournemouth 2, Brighton and Hove Albion 1. Antoine Semenyo (Bournemouth) converts the penalty with a right footed shot to the centre of the goal.",2025-09-14 01:28:00,5,middle center,0,1,0
13481,740649,68,45987368,76',Penalty saved. Bruno Fernandes (Manchester United) right footed shot saved in the bottom right corner by Caoimhín Kelleher (Brentford).,2025-09-28 01:17:47,7,bottom right,1,0,0
13481,740656,81,46066080,67',"Goal! Arsenal 2, West Ham United 0. Bukayo Saka (Arsenal) converts the penalty with a left footed shot to the bottom right corner.",2025-10-05 01:22:57,7,bottom right,0,1,0
13481,740661,78,46083830,76',"Goal! Everton 1, Crystal Palace 1. Iliman Ndiaye (Everton) converts the penalty with a right footed shot to the bottom left corner.",2025-10-06 07:03:28,9,bottom left,0,1,0
13481,740664,114,46084034,84',"Goal! Newcastle United 2, Nottingham Forest 0. Nick Woltemade (Newcastle United) converts the penalty with a right footed shot to the top left corner.",2025-10-06 07:03:28,3,top left,0,1,0
13481,740668,102,46166848,90'+7',"Goal! Crystal Palace 3, Bournemouth 3. Jean-Philippe Mateta (Crystal Palace) converts the penalty with a right footed shot to the bottom left corner.",2025-10-19 01:22:21,9,bottom left,0,1,0
13481,740679,48,46236646,60',"Goal! Brentford 3, Liverpool 1. Igor Thiago (Brentford) converts the penalty with a right footed shot to the centre of the goal.",2025-10-26 01:23:25,5,middle center,0,1,0
13481,740684,25,46243902,42',"Goal! Wolverhampton Wanderers 1, Burnley 2. Jørgen Strand Larsen (Wolverhampton Wanderers) converts the penalty with a right footed shot to the bottom right corner.",2025-10-27 01:19:29,7,bottom right,0,1,0
13481,740697,91,46369157,67',Penalty saved. Antoine Semenyo (Bournemouth) right footed shot saved in the bottom left corner by Emiliano Martínez (Aston Villa).,2025-11-10 01:11:26,9,bottom left,1,0,0
13481,740698,81,46369376,78',"Goal! Brentford 2, Newcastle United 1. Igor Thiago (Brentford) converts the penalty with a right footed shot to the bottom right corner.",2025-11-10 01:11:26,7,bottom right,0,1,0
13481,740702,12,46370599,13',Penalty saved. Erling Haaland (Manchester City) left footed shot saved in the bottom right corner by Giorgi Mamardashvili (Liverpool).,2025-11-10 01:11:26,7,bottom right,1,0,0
13481,740703,100,46369750,90'+1',"Goal! Nottingham Forest 3, Leeds United 1. Elliot Anderson (Nottingham Forest) converts the penalty with a right footed shot to the bottom left corner.",2025-11-10 01:11:26,9,bottom left,0,1,0
13481,740706,24,46435524,29',"Goal! Brighton and Hove Albion 0, Brentford 1. Igor Thiago (Brentford) converts the penalty with a right footed shot to the bottom left corner.",2025-11-23 01:10:53,9,bottom left,0,1,0
13481,740706,90,46438878,90'+4',Penalty saved. Igor Thiago (Brentford) right footed shot saved in the bottom left corner by Bart Verbruggen (Brighton and Hove Albion).,2025-11-23 01:10:53,9,bottom left,1,0,0
